timeframe,direction_balance,body_level,range_level,upper_wick,lower_wick,close_location,alternation,direction_shift,range_shift,research_note
1m,0.05,0.5334241295291482,0.20013280485682738,0.2180828175714605,0.24849305289939125,0.5301437741134735,0.5,0.30000000000000004,0.11602158233256679,Descriptive candle-behaviour comparison only
3m,0.0,0.5618600999470276,0.18679636222431434,0.21493881386204397,0.22320108619092865,0.5342657797950161,0.5,0.0,-0.0033538923676668664,Descriptive candle-behaviour comparison only
5m,0.2,0.45070946062303313,0.19403273457047648,0.2766023515485149,0.272688187828452,0.4805680219887794,0.5,0.8,-0.036443768216827016,Descriptive candle-behaviour comparison only
15m,0.0,0.48747886804354523,0.21926105850308172,0.23332088815799507,0.27920024379845987,0.5328619800932375,0.55,-0.4,0.08116392423086657,Descriptive candle-behaviour comparison only
30m,-0.1,0.40897148172985254,0.3160351000433749,0.30393635046507494,0.2870921678050724,0.4991761263319163,0.45,0.2,-0.19540951288996264,Descriptive candle-behaviour comparison only
1h,0.2,0.34232967259709285,0.25673582146053897,0.28172311795186544,0.3759472094510417,0.5354352809452136,0.35,0.4,0.12358971254349954,Descriptive candle-behaviour comparison only
4h,-0.1,0.44101295591182305,0.31200773164884044,0.26984725575504914,0.28913978833312787,0.48131855345800656,0.6,0.2,-0.0007719543477276436,Descriptive candle-behaviour comparison only
1d,-0.1,0.4291304513367521,0.21841112414578506,0.2820659470525419,0.28880360161070584,0.48874809103411304,0.7,-0.2,0.022933332471001988,Descriptive candle-behaviour comparison only
