timeframe,transition_from,transition_to,occurrences,stories_with_transition,story_count,story_presence_pct,transition_label,source_set
4h,REJECTION_CLUSTER,EXPANSION_AFTER_TEST,24,19,25,76.0,REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
4h,EXPANSION_AFTER_TEST,LEVEL_INTERACTION_CLUSTER,2,2,25,8.0,EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER,top_historical_matches
4h,LEVEL_INTERACTION_CLUSTER,EXPANSION_AFTER_TEST,2,2,25,8.0,LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
4h,EXPANSION_AFTER_TEST,HOLD_CLUSTER,3,3,25,12.0,EXPANSION_AFTER_TEST -> HOLD_CLUSTER,top_historical_matches
4h,HOLD_CLUSTER,EXPANSION_AFTER_TEST,8,8,25,32.0,HOLD_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
4h,INITIAL_BEARISH_BIAS,REJECTION_CLUSTER,1,1,25,4.0,INITIAL_BEARISH_BIAS -> REJECTION_CLUSTER,top_historical_matches
4h,EXPANSION_AFTER_TEST,REJECTION_CLUSTER,9,9,25,36.0,EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,top_historical_matches
4h,INITIAL_BALANCED_BEHAVIOUR,REPEATED_TEST_CLUSTER,1,1,25,4.0,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER,top_historical_matches
4h,REPEATED_TEST_CLUSTER,REJECTION_CLUSTER,1,1,25,4.0,REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER,top_historical_matches
4h,EXPANSION_AFTER_TEST,REPEATED_TEST_CLUSTER,8,8,25,32.0,EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER,top_historical_matches
4h,REPEATED_TEST_CLUSTER,EXPANSION_AFTER_TEST,9,9,25,36.0,REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
4h,INITIAL_BALANCED_BEHAVIOUR,DIRECTIONAL_SHIFT,3,3,25,12.0,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT,top_historical_matches
4h,DIRECTIONAL_SHIFT,REJECTION_CLUSTER,1,1,25,4.0,DIRECTIONAL_SHIFT -> REJECTION_CLUSTER,top_historical_matches
4h,INITIAL_BALANCED_BEHAVIOUR,RANGE_EXPANSION,6,6,25,24.0,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION,top_historical_matches
4h,RANGE_EXPANSION,HOLD_CLUSTER,1,1,25,4.0,RANGE_EXPANSION -> HOLD_CLUSTER,top_historical_matches
4h,HOLD_CLUSTER,REJECTION_CLUSTER,4,4,25,16.0,HOLD_CLUSTER -> REJECTION_CLUSTER,top_historical_matches
4h,EXPANSION_AFTER_TEST,PULLBACK_CLUSTER,3,3,25,12.0,EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER,top_historical_matches
4h,PULLBACK_CLUSTER,EXPANSION_AFTER_TEST,3,3,25,12.0,PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
4h,INITIAL_BALANCED_BEHAVIOUR,BODY_COMPRESSION,5,5,25,20.0,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION,top_historical_matches
4h,BODY_COMPRESSION,REJECTION_CLUSTER,3,3,25,12.0,BODY_COMPRESSION -> REJECTION_CLUSTER,top_historical_matches
4h,INITIAL_BALANCED_BEHAVIOUR,DIRECTION_CHANGE_IN_CHARACTER,1,1,25,4.0,INITIAL_BALANCED_BEHAVIOUR -> DIRECTION_CHANGE_IN_CHARACTER,top_historical_matches
4h,DIRECTION_CHANGE_IN_CHARACTER,COUNTERMOVE_AND_RENEWAL,1,1,25,4.0,DIRECTION_CHANGE_IN_CHARACTER -> COUNTERMOVE_AND_RENEWAL,top_historical_matches
4h,COUNTERMOVE_AND_RENEWAL,REJECTION_CLUSTER,3,3,25,12.0,COUNTERMOVE_AND_RENEWAL -> REJECTION_CLUSTER,top_historical_matches
4h,INITIAL_BEARISH_BIAS,HOLD_CLUSTER,2,2,25,8.0,INITIAL_BEARISH_BIAS -> HOLD_CLUSTER,top_historical_matches
4h,DIRECTIONAL_SHIFT,HOLD_CLUSTER,1,1,25,4.0,DIRECTIONAL_SHIFT -> HOLD_CLUSTER,top_historical_matches
4h,REJECTION_CLUSTER,REPEATED_TEST_CLUSTER,3,3,25,12.0,REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER,top_historical_matches
4h,RANGE_EXPANSION,REJECTION_CLUSTER,1,1,25,4.0,RANGE_EXPANSION -> REJECTION_CLUSTER,top_historical_matches
4h,INITIAL_BALANCED_BEHAVIOUR,COUNTERMOVE_AND_RENEWAL,1,1,25,4.0,INITIAL_BALANCED_BEHAVIOUR -> COUNTERMOVE_AND_RENEWAL,top_historical_matches
4h,BODY_COMPRESSION,HOLD_CLUSTER,3,3,25,12.0,BODY_COMPRESSION -> HOLD_CLUSTER,top_historical_matches
4h,RANGE_EXPANSION,BODY_EXPANSION,2,2,25,8.0,RANGE_EXPANSION -> BODY_EXPANSION,top_historical_matches
4h,BODY_EXPANSION,HOLD_CLUSTER,1,1,25,4.0,BODY_EXPANSION -> HOLD_CLUSTER,top_historical_matches
4h,INITIAL_BALANCED_BEHAVIOUR,RANGE_COMPRESSION,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION,top_historical_matches
4h,RANGE_COMPRESSION,BODY_COMPRESSION,2,2,25,8.0,RANGE_COMPRESSION -> BODY_COMPRESSION,top_historical_matches
4h,BODY_COMPRESSION,REPEATED_TEST_CLUSTER,1,1,25,4.0,BODY_COMPRESSION -> REPEATED_TEST_CLUSTER,top_historical_matches
4h,RANGE_EXPANSION,BODY_COMPRESSION,1,1,25,4.0,RANGE_EXPANSION -> BODY_COMPRESSION,top_historical_matches
4h,BODY_EXPANSION,REJECTION_CLUSTER,1,1,25,4.0,BODY_EXPANSION -> REJECTION_CLUSTER,top_historical_matches
4h,BODY_COMPRESSION,LEVEL_INTERACTION_CLUSTER,1,1,25,4.0,BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER,top_historical_matches
4h,LEVEL_INTERACTION_CLUSTER,REJECTION_CLUSTER,1,1,25,4.0,LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER,top_historical_matches
4h,RANGE_EXPANSION,DIRECTIONAL_SHIFT,1,1,25,4.0,RANGE_EXPANSION -> DIRECTIONAL_SHIFT,top_historical_matches
4h,DIRECTIONAL_SHIFT,LEVEL_INTERACTION_CLUSTER,1,1,25,4.0,DIRECTIONAL_SHIFT -> LEVEL_INTERACTION_CLUSTER,top_historical_matches
4h,REJECTION_CLUSTER,HOLD_CLUSTER,1,1,25,4.0,REJECTION_CLUSTER -> HOLD_CLUSTER,top_historical_matches
4h,DIRECTIONAL_SHIFT,BODY_COMPRESSION,1,1,25,4.0,DIRECTIONAL_SHIFT -> BODY_COMPRESSION,top_historical_matches
4h,BODY_COMPRESSION,COUNTERMOVE_AND_RENEWAL,1,1,25,4.0,BODY_COMPRESSION -> COUNTERMOVE_AND_RENEWAL,top_historical_matches
1d,INITIAL_BALANCED_BEHAVIOUR,REPEATED_TEST_CLUSTER,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER,top_historical_matches
1d,REPEATED_TEST_CLUSTER,REJECTION_CLUSTER,1,1,25,4.0,REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER,top_historical_matches
1d,REJECTION_CLUSTER,REPEATED_TEST_CLUSTER,5,5,25,20.0,REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER,top_historical_matches
1d,REPEATED_TEST_CLUSTER,EXPANSION_AFTER_TEST,10,10,25,40.0,REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
1d,EXPANSION_AFTER_TEST,HOLD_CLUSTER,5,5,25,20.0,EXPANSION_AFTER_TEST -> HOLD_CLUSTER,top_historical_matches
1d,INITIAL_BALANCED_BEHAVIOUR,BODY_COMPRESSION,5,5,25,20.0,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION,top_historical_matches
1d,BODY_COMPRESSION,REJECTION_CLUSTER,4,4,25,16.0,BODY_COMPRESSION -> REJECTION_CLUSTER,top_historical_matches
1d,EXPANSION_AFTER_TEST,REJECTION_CLUSTER,13,12,25,48.0,EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,top_historical_matches
1d,INITIAL_BEARISH_BIAS,LEVEL_INTERACTION_CLUSTER,1,1,25,4.0,INITIAL_BEARISH_BIAS -> LEVEL_INTERACTION_CLUSTER,top_historical_matches
1d,LEVEL_INTERACTION_CLUSTER,REJECTION_CLUSTER,2,2,25,8.0,LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER,top_historical_matches
1d,INITIAL_BALANCED_BEHAVIOUR,DIRECTION_CHANGE_IN_CHARACTER,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> DIRECTION_CHANGE_IN_CHARACTER,top_historical_matches
1d,DIRECTION_CHANGE_IN_CHARACTER,BODY_EXPANSION,2,2,25,8.0,DIRECTION_CHANGE_IN_CHARACTER -> BODY_EXPANSION,top_historical_matches
1d,BODY_EXPANSION,REPEATED_TEST_CLUSTER,1,1,25,4.0,BODY_EXPANSION -> REPEATED_TEST_CLUSTER,top_historical_matches
1d,REJECTION_CLUSTER,HOLD_CLUSTER,7,7,25,28.0,REJECTION_CLUSTER -> HOLD_CLUSTER,top_historical_matches
1d,HOLD_CLUSTER,EXPANSION_AFTER_TEST,8,8,25,32.0,HOLD_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
1d,BODY_COMPRESSION,HOLD_CLUSTER,1,1,25,4.0,BODY_COMPRESSION -> HOLD_CLUSTER,top_historical_matches
1d,HOLD_CLUSTER,REPEATED_TEST_CLUSTER,1,1,25,4.0,HOLD_CLUSTER -> REPEATED_TEST_CLUSTER,top_historical_matches
1d,REJECTION_CLUSTER,PULLBACK_CLUSTER,1,1,25,4.0,REJECTION_CLUSTER -> PULLBACK_CLUSTER,top_historical_matches
1d,INITIAL_BALANCED_BEHAVIOUR,BODY_EXPANSION,3,3,25,12.0,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION,top_historical_matches
1d,BODY_EXPANSION,REJECTION_CLUSTER,4,4,25,16.0,BODY_EXPANSION -> REJECTION_CLUSTER,top_historical_matches
1d,REJECTION_CLUSTER,EXPANSION_AFTER_TEST,9,9,25,36.0,REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
1d,INITIAL_BALANCED_BEHAVIOUR,LEVEL_INTERACTION_CLUSTER,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> LEVEL_INTERACTION_CLUSTER,top_historical_matches
1d,INITIAL_BALANCED_BEHAVIOUR,REJECTION_CLUSTER,4,4,25,16.0,INITIAL_BALANCED_BEHAVIOUR -> REJECTION_CLUSTER,top_historical_matches
1d,HOLD_CLUSTER,REJECTION_CLUSTER,4,4,25,16.0,HOLD_CLUSTER -> REJECTION_CLUSTER,top_historical_matches
1d,INITIAL_BALANCED_BEHAVIOUR,RANGE_EXPANSION,1,1,25,4.0,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION,top_historical_matches
1d,RANGE_EXPANSION,BODY_EXPANSION,1,1,25,4.0,RANGE_EXPANSION -> BODY_EXPANSION,top_historical_matches
1d,BODY_EXPANSION,HOLD_CLUSTER,1,1,25,4.0,BODY_EXPANSION -> HOLD_CLUSTER,top_historical_matches
1d,INITIAL_BALANCED_BEHAVIOUR,HOLD_CLUSTER,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> HOLD_CLUSTER,top_historical_matches
1d,HOLD_CLUSTER,PULLBACK_CLUSTER,1,1,25,4.0,HOLD_CLUSTER -> PULLBACK_CLUSTER,top_historical_matches
1d,PULLBACK_CLUSTER,EXPANSION_AFTER_TEST,1,1,25,4.0,PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
1d,EXPANSION_AFTER_TEST,PULLBACK_CLUSTER,1,1,25,4.0,EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER,top_historical_matches
1d,LEVEL_INTERACTION_CLUSTER,HOLD_CLUSTER,1,1,25,4.0,LEVEL_INTERACTION_CLUSTER -> HOLD_CLUSTER,top_historical_matches
1d,INITIAL_BALANCED_BEHAVIOUR,DIRECTIONAL_SHIFT,1,1,25,4.0,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT,top_historical_matches
1d,DIRECTIONAL_SHIFT,REJECTION_CLUSTER,1,1,25,4.0,DIRECTIONAL_SHIFT -> REJECTION_CLUSTER,top_historical_matches
1d,EXPANSION_AFTER_TEST,REPEATED_TEST_CLUSTER,1,1,25,4.0,EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER,top_historical_matches
1d,INITIAL_BALANCED_BEHAVIOUR,RANGE_COMPRESSION,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION,top_historical_matches
1d,RANGE_COMPRESSION,BODY_COMPRESSION,2,2,25,8.0,RANGE_COMPRESSION -> BODY_COMPRESSION,top_historical_matches
1d,BODY_COMPRESSION,REPEATED_TEST_CLUSTER,1,1,25,4.0,BODY_COMPRESSION -> REPEATED_TEST_CLUSTER,top_historical_matches
1d,BODY_COMPRESSION,COUNTERMOVE_AND_RENEWAL,1,1,25,4.0,BODY_COMPRESSION -> COUNTERMOVE_AND_RENEWAL,top_historical_matches
1d,COUNTERMOVE_AND_RENEWAL,REJECTION_CLUSTER,1,1,25,4.0,COUNTERMOVE_AND_RENEWAL -> REJECTION_CLUSTER,top_historical_matches
