timeframe,rank,similarity,candidate_start,candidate_end,before_archetype,matched_archetype,after_archetype,before_micro_behaviour,matched_micro_behaviour,after_micro_behaviour,before_bullish,matched_bullish,after_bullish,before_range,matched_range,after_range
1m,22,0.19528382511589723,16888,16907,COMPRESSION_SEQUENCE,REJECTION_MIX,SIDEWAYS_COMPRESSION,MIXED_MICRO_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR,BALANCED_COMPRESSION,0.3,0.7,0.5,0.8481673412827231,0.9532641145284844,0.7795062679413217
1m,23,0.1951703855680882,7576,7595,REJECTION_MIX,EXPANSION_SEQUENCE,BEARISH_TO_BULLISH_SHIFT,HIGH_ALTERNATION,RANGE_EXPANSION,RANGE_EXPANSION,0.6,0.5,0.4,1.9685607106411838,1.0571471727016026,1.4590510831562353
1m,24,0.19514865620956373,6412,6431,REJECTION_MIX,BULLISH_TO_BEARISH_SHIFT,EXPANSION_SEQUENCE,MIXED_MICRO_BEHAVIOUR,DIRECTIONAL_COMPRESSION,RANGE_EXPANSION,0.6,0.45,0.5,1.1848834548844989,0.9520614467385966,1.8472063233799525
1m,25,0.1951051768103642,17359,17378,REJECTION_MIX,MIXED_BEHAVIOUR,HIGH_ALTERNATION,REJECTION_BALANCE,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,0.5,0.55,0.5,1.2471886767968239,0.9302188505529374,1.0444856458855967
3m,1,0.3606024429579151,21149,21168,REJECTION_MIX,REJECTION_MIX,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,HIGH_ALTERNATION,0.6,0.5,0.4,1.286607440378527,1.0160663506163945,0.8723754568795693
3m,2,0.35843502662239035,6938,6957,REJECTION_MIX,REJECTION_MIX,BEARISH_TO_BULLISH_SHIFT,MIXED_MICRO_BEHAVIOUR,REJECTION_BALANCE,RANGE_EXPANSION,0.3,0.3,0.6,1.340882248322308,0.8299665774762793,1.0403801486075337
3m,3,0.35641327281381985,6629,6648,SIDEWAYS_COMPRESSION,EXPANSION_SEQUENCE,EXPANSION_SEQUENCE,WICK_REJECTION_COMPRESSION,RANGE_EXPANSION,RANGE_EXPANSION,0.5,0.5,0.5,0.7862644139833714,1.053609923037778,1.3691142586066252
3m,4,0.35456339709417184,13910,13929,HIGH_ALTERNATION,BEARISH_TO_BULLISH_SHIFT,REJECTION_MIX,HIGH_ALTERNATION,WICK_REJECTION_COMPRESSION,MIXED_MICRO_BEHAVIOUR,0.6,0.6,0.6,1.13597139651825,0.8567758471879714,1.2941341701791016
3m,5,0.34713643275905137,15843,15862,REJECTION_MIX,SIDEWAYS_COMPRESSION,PERSISTENT_BEARISH_BODY,HIGH_ALTERNATION,WICK_REJECTION_COMPRESSION,MIXED_MICRO_BEHAVIOUR,0.5,0.5,0.3,1.205909685282776,0.8446485224452728,0.8555227000810426
3m,6,0.3470751626272191,2223,2242,REJECTION_MIX,REJECTION_MIX,BULLISH_TO_BEARISH_SHIFT,MIXED_MICRO_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR,BEARISH_SHIFT,0.6,0.5,0.6,1.7603724357539268,1.0199179680940973,0.9497521176447619
3m,7,0.34195020811267257,2889,2908,SIDEWAYS_TO_DIRECTIONAL,REJECTION_MIX,HIGH_ALTERNATION,RANGE_EXPANSION,HIGH_ALTERNATION,HIGH_ALTERNATION,0.7,0.5,0.6,1.1032912433615372,0.9178139077075185,1.2994488558372637
3m,8,0.341199558578006,20164,20183,SIDEWAYS_TO_DIRECTIONAL,REJECTION_MIX,BULLISH_TO_BEARISH_SHIFT,HIGH_ALTERNATION,MIXED_MICRO_BEHAVIOUR,DIRECTIONAL_COMPRESSION,0.7,0.55,0.5,1.010201903527449,1.0656647869176328,0.8701769501287313
3m,9,0.3407102767385392,717,736,EXPANSION_SEQUENCE,REJECTION_MIX,REJECTION_MIX,RANGE_EXPANSION,MIXED_MICRO_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR,0.4,0.5,0.4,1.2810856554835517,1.1055947738857825,0.919960691783863
3m,10,0.3394089656411916,24443,24462,HIGH_ALTERNATION,EXPANSION_SEQUENCE,BEARISH_TO_BULLISH_SHIFT,HIGH_ALTERNATION,RANGE_EXPANSION,BALANCED_COMPRESSION,0.5,0.5,0.6,2.0257227032346106,1.3150989805766051,0.42809371029374343
3m,11,0.3389083866351877,27104,27123,REJECTION_MIX,SIDEWAYS_TO_DIRECTIONAL,HIGH_ALTERNATION,REJECTION_BALANCE,RANGE_EXPANSION,HIGH_ALTERNATION,0.6,0.35,0.5,1.0611271951998007,0.9775186550581365,1.4542411943185036
3m,12,0.3386066452137425,25475,25494,BEARISH_TO_BULLISH_SHIFT,EXPANSION_SEQUENCE,REJECTION_MIX,BALANCED_COMPRESSION,RANGE_EXPANSION,REJECTION_BALANCE,0.6,0.5,0.5,0.7750108185344402,1.147524492084342,1.1465632731134803
3m,13,0.3381004943027936,23834,23853,EXPANSION_SEQUENCE,BULLISH_TO_BEARISH_SHIFT,REJECTION_MIX,RANGE_EXPANSION,BEARISH_SHIFT,REJECTION_BALANCE,0.4,0.65,0.5,1.247968595942933,0.9836547243797478,1.0076276722080801
3m,14,0.33467721500550995,6340,6359,REJECTION_MIX,REJECTION_MIX,REJECTION_MIX,REJECTION_BALANCE,MIXED_MICRO_BEHAVIOUR,REJECTION_BALANCE,0.4,0.5,0.5,1.0454731958589258,0.9032093190087513,1.0988269309563612
3m,15,0.33309803238900393,15844,15863,HIGH_ALTERNATION,SIDEWAYS_COMPRESSION,MIXED_BEHAVIOUR,HIGH_ALTERNATION,WICK_REJECTION_COMPRESSION,MIXED_MICRO_BEHAVIOUR,0.5,0.5,0.4,1.24083217584386,0.8489025416150963,0.7981357972021934
3m,16,0.3327662024106288,1274,1293,BULLISH_TO_BEARISH_SHIFT,EXPANSION_SEQUENCE,MIXED_BEHAVIOUR,RANGE_EXPANSION,RANGE_EXPANSION,BULLISH_SHIFT,0.6,0.55,0.4,1.3732628659295982,0.9622166514929692,1.25208553850115
