reference_timestamp,screen_rank,timeframe,candidate_start,candidate_end,candle_structure_similarity,story_similarity,family_story,story,synchronization
1789531200000,7,1h,29957,29976,0.12096693355373919,0.5,INITIAL_CONTEXT -> PULLBACK -> HOLD -> REJECTION -> HOLD -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> PULLBACK_CLUSTER -> HOLD_CLUSTER -> REJECTION_CLUSTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789531200000,7,4h,9975,9994,0.3723123538547519,0.5555555555555556,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTION_CHANGE_IN_CHARACTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789531200000,7,1d,2979,2998,0.699655191769579,0.9166666666666666,INITIAL_CONTEXT -> LEVEL_INTERACTION -> REJECTION -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,ASOF_CONTEXT
1788782400000,8,1m,16121,16140,0.2662016040129865,0.6428571428571428,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,EXACT
1788782400000,8,3m,25361,25380,0.3935267188397112,0.875,INITIAL_CONTEXT -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788782400000,8,5m,27208,27227,0.4065551972747947,0.41666666666666663,INITIAL_CONTEXT -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788782400000,8,15m,29056,29075,0.43905267934334574,0.3571428571428571,INITIAL_CONTEXT -> RANGE_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788782400000,8,30m,29518,29537,0.2550950058994489,0.6,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> HOLD_CLUSTER,EXACT
1788782400000,8,1h,29749,29768,0.21742782693994456,0.4375,INITIAL_CONTEXT -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_BULLISH_BIAS -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,EXACT
1788782400000,8,4h,9923,9942,0.2945932643796596,0.6428571428571428,INITIAL_CONTEXT -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> COUNTERMOVE_AND_RENEWAL -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,EXACT
1788782400000,8,1d,2970,2989,0.09519862426830335,0.4,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION -> HOLD -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,ASOF_CONTEXT
1788278400000,13,1m,7721,7740,0.29101378618556506,0.5,INITIAL_CONTEXT -> DIRECTION_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION,INITIAL_BULLISH_BIAS -> DIRECTIONAL_SHIFT -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER,EXACT
