timeframe,rank,candidate_start,candidate_end,similarity,candles,bullish_fraction,bearish_fraction,alternation_fraction,compression_fraction,expansion_fraction,upper_rejection_fraction,lower_rejection_fraction,mean_body_pct,mean_range_ratio,first_half_bullish,second_half_bullish,directional_shift,range_shift,body_shift,archetype,micro_behaviour
1m,23,7576,7595,0.1951703855680882,20,0.5,0.5,0.5263157894736842,0.45,0.35,0.25,0.55,0.40698666787815735,1.0571471727016026,0.5,0.5,0.0,0.8164725089551652,0.26088123288316784,EXPANSION_SEQUENCE,RANGE_EXPANSION
1m,24,6412,6431,0.19514865620956373,20,0.45,0.55,0.5789473684210527,0.45,0.3,0.2,0.4,0.5390212981502625,0.9520614467385966,0.6,0.3,-0.3,0.12595636235934737,0.06733801971418785,BULLISH_TO_BEARISH_SHIFT,DIRECTIONAL_COMPRESSION
1m,25,17359,17378,0.1951051768103642,20,0.55,0.45,0.5263157894736842,0.4,0.25,0.2,0.2,0.6437912833078338,0.9302188505529374,0.6,0.5,-0.09999999999999998,0.1381787572042159,-0.11432068188856293,MIXED_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR
3m,1,21149,21168,0.3606024429579151,20,0.5,0.5,0.6842105263157895,0.35,0.35,0.35,0.35,0.5057264451436365,1.0160663506163945,0.4,0.6,0.19999999999999996,-0.22656253934818182,0.07347961418137144,REJECTION_MIX,HIGH_ALTERNATION
3m,2,6938,6957,0.35843502662239035,20,0.3,0.7,0.47368421052631576,0.6,0.15,0.35,0.45,0.48474643856060623,0.8299665774762793,0.3,0.3,0.0,0.08420553433231337,-0.03566739335259572,REJECTION_MIX,REJECTION_BALANCE
3m,3,6629,6648,0.35641327281381985,20,0.5,0.5,0.3684210526315789,0.35,0.4,0.35,0.25,0.4977438534930879,1.053609923037778,0.4,0.6,0.19999999999999996,0.19086196175465964,-0.11578701480142317,EXPANSION_SEQUENCE,RANGE_EXPANSION
3m,4,13910,13929,0.35456339709417184,20,0.6,0.4,0.2631578947368421,0.55,0.05,0.45,0.2,0.4297491762346558,0.8567758471879714,0.4,0.8,0.4,0.18227633255878795,-0.1977132301953347,BEARISH_TO_BULLISH_SHIFT,WICK_REJECTION_COMPRESSION
3m,5,15843,15862,0.34713643275905137,20,0.5,0.5,0.6842105263157895,0.6,0.25,0.4,0.3,0.4982829581934432,0.8446485224452728,0.6,0.4,-0.19999999999999996,-0.05149048498508413,-0.03697696283335,SIDEWAYS_COMPRESSION,WICK_REJECTION_COMPRESSION
3m,6,2223,2242,0.3470751626272191,20,0.5,0.5,0.5263157894736842,0.4,0.35,0.25,0.25,0.44588733816444776,1.0199179680940973,0.5,0.5,0.0,-0.5264996483718452,-0.17733845524564856,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
3m,7,2889,2908,0.34195020811267257,20,0.5,0.5,0.6842105263157895,0.4,0.25,0.35,0.25,0.5159364576546325,0.9178139077075185,0.4,0.6,0.19999999999999996,-0.05882986741215912,0.3088969758842343,REJECTION_MIX,HIGH_ALTERNATION
3m,8,20164,20183,0.341199558578006,20,0.55,0.45,0.47368421052631576,0.45,0.35,0.25,0.3,0.5019876491704521,1.0656647869176328,0.6,0.5,-0.09999999999999998,-0.23509427111850056,0.03443247532647514,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
3m,9,717,736,0.3407102767385392,20,0.5,0.5,0.5263157894736842,0.35,0.4,0.35,0.4,0.4456607653072374,1.1055947738857825,0.6,0.4,-0.19999999999999996,-0.21986376605686087,-0.33473764106131565,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
3m,10,24443,24462,0.3394089656411916,20,0.5,0.5,0.631578947368421,0.3,0.55,0.2,0.1,0.6555360788532282,1.3150989805766051,0.4,0.6,0.19999999999999996,0.52698775542912,-0.1622470640740521,EXPANSION_SEQUENCE,RANGE_EXPANSION
3m,11,27104,27123,0.3389083866351877,20,0.35,0.65,0.631578947368421,0.5,0.35,0.15,0.35,0.5357275343729981,0.9775186550581365,0.3,0.4,0.10000000000000003,0.21867231699516565,-0.14710282324150564,SIDEWAYS_TO_DIRECTIONAL,RANGE_EXPANSION
3m,12,25475,25494,0.3386066452137425,20,0.5,0.5,0.3684210526315789,0.3,0.5,0.35,0.25,0.4830459082994478,1.147524492084342,0.5,0.5,0.0,0.21644926584183422,0.0876986510141165,EXPANSION_SEQUENCE,RANGE_EXPANSION
3m,13,23834,23853,0.3381004943027936,20,0.65,0.35,0.3684210526315789,0.3,0.3,0.2,0.35,0.537048023287493,0.9836547243797478,0.8,0.5,-0.30000000000000004,0.1499926588404087,-0.21097314637179398,BULLISH_TO_BEARISH_SHIFT,BEARISH_SHIFT
