timeframe,phase_count,family_phase_count,story,family_story
1m,5,5,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST
3m,4,4,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST
5m,6,6,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION
15m,7,7,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_CONTEXT -> DIRECTION_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> PULLBACK -> EXPANSION_AFTER_TEST -> HOLD
30m,5,5,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_CONTEXT -> RANGE_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> HOLD
1h,9,8,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTION_CHANGE_IN_CHARACTER -> COUNTERMOVE_AND_RENEWAL -> REJECTION_CLUSTER -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> REJECTION -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD
4h,5,5,INITIAL_BALANCED_BEHAVIOUR -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST
1d,6,6,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_CONTEXT -> LEVEL_INTERACTION -> REJECTION -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION
