rank,candidate_start,candidate_end,position,index,state,body_pct,range_ratio,upper_wick_pct,lower_wick_pct,close_location
1,2337,2356,1,2337,BEARISH|LARGE_BODY|NORMAL_RANGE|CLOSE_LOW|STRONG_BEAR,0.7911764705882302,0.795321637426905,0.11470588235296754,0.09411764705880228,0.09411764705880228
1,2337,2356,2,2338,BULLISH|LARGE_BODY|COMPRESSION|STRONG_BULL,0.7004219409282696,0.6179921773142362,0.29957805907173035,0.0,0.7004219409282696
1,2337,2356,3,2339,BULLISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION,0.20047169811318566,1.105606258148623,0.5683962264151124,0.23113207547170192,0.43160377358488755
1,2337,2356,4,2340,BULLISH|SMALL_BODY|NORMAL_RANGE|LOWER_REJECTION,0.2332361516035627,0.9913294797687284,0.2798833819241559,0.4868804664722814,0.720116618075844
1,2337,2356,5,2341,BULLISH|MEDIUM_BODY|NORMAL_RANGE|LOWER_REJECTION,0.2713414634145976,0.9562682215743183,0.32317073170730315,0.40548780487809927,0.6768292682926969
1,2337,2356,6,2342,BEARISH|LARGE_BODY|EXPANSION|CLOSE_LOW|STRONG_BEAR,0.8967611336032418,1.4402332361515926,0.0,0.10323886639675815,0.10323886639675815
1,2337,2356,7,2343,BEARISH|MEDIUM_BODY|NORMAL_RANGE|LOWER_REJECTION,0.5354838709677107,0.9037900874635435,0.003225806451610064,0.46129032258067926,0.46129032258067926
1,2337,2356,8,2344,BULLISH|LARGE_BODY|EXPANSION|CLOSE_HIGH|STRONG_BULL,0.7485380116958745,1.4826589595375883,0.165692007797294,0.08576998050683142,0.834307992202706
1,2337,2356,9,2345,BULLISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION|LOWER_REJECTION,0.036900369003739886,0.7900874635568734,0.428044280442745,0.5350553505535152,0.571955719557255
1,2337,2356,10,2346,BEARISH|SMALL_BODY|COMPRESSION|UPPER_REJECTION|LOWER_REJECTION,0.16528925619839524,0.7055393586005718,0.3801652892561587,0.454545454545446,0.454545454545446
1,2337,2356,11,2347,BEARISH|MEDIUM_BODY|EXPANSION,0.4870466321243444,1.6880466472303906,0.22625215889463793,0.28670120898101764,0.28670120898101764
1,2337,2356,12,2348,BEARISH|MEDIUM_BODY|EXPANSION|LOWER_REJECTION,0.5297297297297334,5.0,0.009609609609607711,0.4606606606606588,0.4606606606606588
1,2337,2356,13,2349,BEARISH|MEDIUM_BODY|EXPANSION|LOWER_REJECTION,0.43078512396694685,2.7976878612716654,0.10123966942148882,0.46797520661156433,0.46797520661156433
1,2337,2356,14,2350,BULLISH|LARGE_BODY|EXPANSION|CLOSE_HIGH|STRONG_BULL,0.814207650273221,2.3673997412678056,0.18579234972677908,0.0,0.814207650273221
1,2337,2356,15,2351,BULLISH|MEDIUM_BODY|EXPANSION|LOWER_REJECTION|CLOSE_HIGH,0.36146496815285184,1.3986636971047188,0.21178343949046374,0.4267515923566844,0.7882165605095363
1,2337,2356,16,2352,BEARISH|LARGE_BODY|NORMAL_RANGE|CLOSE_LOW|STRONG_BEAR,0.7777777777777357,0.9183673469387933,0.09444444444448129,0.12777777777778304,0.12777777777778304
1,2337,2356,17,2353,BULLISH|LARGE_BODY|EXPANSION|CLOSE_HIGH|STRONG_BULL,0.8894557823129118,1.281045751634002,0.10884353741498098,0.0017006802721072653,0.891156462585019
1,2337,2356,18,2354,BULLISH|SMALL_BODY|EXPANSION|UPPER_REJECTION,0.08072487644151498,1.322440087145996,0.6820428336079059,0.2372322899505792,0.31795716639209415
1,2337,2356,19,2355,BEARISH|MEDIUM_BODY|COMPRESSION|LOWER_REJECTION,0.25547445255476026,0.6989795918367241,0.2700729927007324,0.47445255474450737,0.47445255474450737
