timeframe,candles,bullish_fraction,bearish_fraction,alternation_fraction,compression_fraction,expansion_fraction,upper_rejection_fraction,lower_rejection_fraction,mean_body_pct,mean_range_ratio,first_half_bullish,second_half_bullish,directional_shift,range_shift,body_shift,archetype
1m,20,0.5,0.45,0.5263157894736842,1.0,0.0,0.25,0.35,0.5334241295291482,0.20013280485682738,0.4,0.6,0.19999999999999996,0.11602158233256679,0.1385533900492315,SIDEWAYS_COMPRESSION
3m,20,0.5,0.5,0.5263157894736842,1.0,0.0,0.3,0.25,0.5618600999470276,0.18679636222431434,0.5,0.5,0.0,-0.0033538923676668664,-0.11996626339184269,SIDEWAYS_COMPRESSION
5m,20,0.6,0.4,0.47368421052631576,1.0,0.0,0.3,0.4,0.45070946062303313,0.19403273457047648,0.4,0.8,0.4,-0.036443768216827016,-0.1216627028000985,SIDEWAYS_COMPRESSION
15m,20,0.5,0.5,0.5263157894736842,1.0,0.0,0.2,0.3,0.48747886804354523,0.21926105850308172,0.6,0.4,-0.19999999999999996,0.08116392423086657,-0.015384464098669615,SIDEWAYS_COMPRESSION
30m,20,0.45,0.55,0.47368421052631576,0.9,0.0,0.4,0.3,0.40897148172985254,0.3160351000433749,0.4,0.5,0.09999999999999998,-0.19540951288996264,0.2175592198179644,SIDEWAYS_COMPRESSION
1h,20,0.6,0.4,0.3684210526315789,1.0,0.0,0.3,0.55,0.34232967259709285,0.25673582146053897,0.5,0.7,0.19999999999999996,0.12358971254349954,-0.09374153424304316,SIDEWAYS_COMPRESSION
4h,20,0.45,0.55,0.631578947368421,0.95,0.0,0.35,0.4,0.44101295591182305,0.31200773164884044,0.4,0.5,0.09999999999999998,-0.0007719543477276436,-0.20055960619789925,SIDEWAYS_COMPRESSION
1d,20,0.45,0.55,0.6842105263157895,1.0,0.0,0.25,0.25,0.4291304513367521,0.21841112414578506,0.5,0.4,-0.09999999999999998,0.022933332471001988,-0.12708654854673346,SIDEWAYS_COMPRESSION
