timeframe,candles_available,window,best_similarity,candles,bullish_fraction,bearish_fraction,alternation_fraction,compression_fraction,expansion_fraction,upper_rejection_fraction,lower_rejection_fraction,mean_body_pct,mean_range_ratio,first_half_bullish_fraction,second_half_bullish_fraction,directional_shift,range_shift,body_shift,transition_profile
1m,30011,20,0.2277370034458535,20,0.5,0.45,0.5263157894736842,0.4,0.25,0.25,0.35,0.5334241295291482,1.000664024284137,0.4,0.6,0.19999999999999996,0.5801079116628339,0.1385533900492315,SIDEWAYS_LIKE
3m,30004,20,0.3606024429579151,20,0.5,0.5,0.5263157894736842,0.35,0.15,0.3,0.25,0.5618600999470276,0.9339818111215716,0.5,0.5,0.0,-0.016769461838334387,-0.11996626339184269,SIDEWAYS_LIKE
5m,30002,20,0.3439495453366893,20,0.6,0.4,0.47368421052631576,0.3,0.25,0.3,0.4,0.45070946062303313,0.9701636728523827,0.4,0.8,0.4,-0.182218841084135,-0.1216627028000985,MIXED_SEQUENCE
15m,30000,20,0.3768985653935664,20,0.5,0.5,0.5263157894736842,0.25,0.25,0.2,0.3,0.48747886804354523,1.0963052925154089,0.6,0.4,-0.19999999999999996,0.40581962115433257,-0.015384464098669615,RANGE_EXPANSION_LIKE
30m,30000,20,0.3154677046288155,20,0.45,0.55,0.47368421052631576,0.3,0.4,0.4,0.3,0.40897148172985254,1.5801755002168745,0.4,0.5,0.09999999999999998,-0.9770475644498136,0.2175592198179644,SIDEWAYS_LIKE
1h,30000,20,0.3469396595048701,20,0.6,0.4,0.3684210526315789,0.15,0.3,0.3,0.55,0.34232967259709285,1.2836791073026947,0.5,0.7,0.19999999999999996,0.6179485627174974,-0.09374153424304316,SIDEWAYS_TO_DIRECTIONAL_LIKE
4h,10000,20,0.33667401151723175,20,0.45,0.55,0.631578947368421,0.05,0.45,0.35,0.4,0.44101295591182305,1.5600386582442023,0.4,0.5,0.09999999999999998,-0.0038597717386379404,-0.20055960619789925,MIXED_SEQUENCE
1d,3000,20,0.27433409943675846,20,0.45,0.55,0.6842105263157895,0.3,0.3,0.25,0.25,0.4291304513367521,1.0920556207289256,0.5,0.4,-0.09999999999999998,0.11466666235500966,-0.12708654854673346,SIDEWAYS_LIKE
