timeframe,direction_balance,alternation,body_level,body_shift,small_body_fraction,large_body_fraction,upper_rejection,lower_rejection,rejection_balance,wick_bias,range_level,range_shift,compression_fraction,expansion_fraction,expansion_transition,close_location,close_shift,direction_shift,first_third_alternation,last_third_alternation,bullish_fraction,bearish_fraction,middle_third_range,pattern_code,fingerprint_id
1m,0.04999999999999999,0.5263157894736842,0.5334241295291482,0.1385533900492315,0.25,0.5,0.25,0.35,0.9,0.09999999999999998,1.000664024284137,0.5801079116628339,0.55,0.3,0.5107922349237483,0.5301437741134735,0.15177728863942314,0.19999999999999996,0.4,0.6,0.5,0.45,0.5387186541396222,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-9E97C4C0DF
3m,0.0,0.5263157894736842,0.5618600999470276,-0.11996626339184269,0.25,0.6,0.3,0.25,0.95,-0.04999999999999999,0.9339818111215716,-0.016769461838334387,0.45,0.3,0.05613426705706126,0.5342657797950161,-0.04199463539283277,0.0,0.6,0.4,0.5,0.5,1.0019236644909761,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-4D23A4A299
5m,0.19999999999999996,0.47368421052631576,0.45070946062303313,-0.1216627028000985,0.4,0.35,0.3,0.4,0.8999999999999999,0.10000000000000003,0.9701636728523827,-0.182218841084135,0.4,0.25,-0.3770171292845792,0.4805680219887794,0.23493450454074172,0.4,0.4,0.4,0.6,0.4,0.901143163799451,BALANCED | STABLE | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,FP-F0E0054750
15m,0.0,0.5263157894736842,0.48747886804354523,-0.015384464098669615,0.25,0.4,0.2,0.3,0.9,0.09999999999999998,1.0963052925154089,0.40581962115433257,0.35,0.25,0.3149541580811045,0.5328619800932375,-0.11860201949273447,-0.19999999999999996,0.6,0.4,0.5,0.5,0.8638249875956324,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-26534D885B
30m,-0.10000000000000003,0.47368421052631576,0.40897148172985254,0.2175592198179644,0.25,0.25,0.4,0.3,0.8999999999999999,-0.10000000000000003,1.5801755002168745,-0.9770475644498136,0.4,0.45,-1.8375575189073428,0.4991761263319163,-0.04265910719899629,0.09999999999999998,0.6,0.8,0.45,0.55,0.7495920834268711,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,FP-4044EBB595
1h,0.19999999999999996,0.3684210526315789,0.34232967259709285,-0.09374153424304316,0.45,0.25,0.3,0.55,0.75,0.25000000000000006,1.2836791073026947,0.6179485627174974,0.3,0.4,0.2613183082204765,0.5354352809452136,-0.005802524203038173,0.19999999999999996,0.4,0.2,0.6,0.4,1.5447679243287258,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-1221234D37
4h,-0.10000000000000003,0.631578947368421,0.44101295591182305,-0.20055960619789925,0.25,0.35,0.35,0.4,0.95,0.050000000000000044,1.5600386582442023,-0.0038597717386379404,0.15,0.55,-0.19006702042180357,0.48131855345800656,0.11213376510213557,0.09999999999999998,0.6,0.8,0.45,0.55,2.0367348858803376,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-5397945395
1d,-0.10000000000000003,0.6842105263157895,0.4291304513367521,-0.12708654854673346,0.1,0.15,0.25,0.25,1.0,0.0,1.0920556207289256,0.11466666235500966,0.5,0.3,0.28315379445630207,0.48874809103411304,-0.1462342986341571,-0.09999999999999998,0.8,0.8,0.45,0.55,0.8060907591596407,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-4B1A8AFF2B
