timeframe,rank,candidate_start,candidate_end,open_time,close_time,similarity,interaction_count,first_interaction_index,last_interaction_index,break_count,hold_count,rejection_count,pullback_count,repeated_level_hits,reaction_expansion_count,interaction_level_types,direction_first_third,direction_last_third,direction_shift,range_first_third,range_last_third,range_shift,story
1m,11,26352,26371,1789395060000,1789396259999,0.20080522015889665,15,26353,26371,8,6,4,5,6,5,PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH,-0.3333333333333333,0.3333333333333333,0.6666666666666666,2.511666666666694,4.636666666666694,2.1250000000000004,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,12,7756,7775,1788279300000,1788280499999,0.20041989941314475,15,7757,7775,10,1,0,8,10,6,PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_BODY,-0.3333333333333333,-0.3333333333333333,0.0,2.3533333333333153,2.836666666666664,0.4833333333333485,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,13,29725,29744,1789597440000,1789598639999,0.2003521171479866,15,29726,29744,3,8,0,11,6,7,PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH,0.0,0.3333333333333333,0.3333333333333333,1.071666666666791,1.363333333333306,0.2916666666665151,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,14,29786,29805,1789601100000,1789602299999,0.1995406014649154,15,29787,29805,5,4,1,9,6,6,PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY,0.3333333333333333,0.0,-0.3333333333333333,1.945000000000012,3.2566666666666606,1.3116666666666486,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,15,11161,11180,1788483600000,1788484799999,0.19719585149129015,13,11163,11180,4,5,1,4,6,3,PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH,-0.3333333333333333,0.16666666666666666,0.5,2.339999999999994,1.259999999999991,-1.0800000000000032,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,16,6328,6347,1788193620000,1788194819999,0.1970835649573064,13,6329,6347,5,5,1,6,5,5,PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW,0.6666666666666666,0.3333333333333333,-0.3333333333333333,1.8550000000000182,1.9333333333333182,0.07833333333330006,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,17,6332,6351,1788193860000,1788195059999,0.19657197330789256,13,6333,6350,4,5,1,6,5,3,PRIOR_HIGH -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY,0.3333333333333333,-0.6666666666666666,-1.0,1.8950000000001335,1.6083333333332728,-0.2866666666668607,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,18,15293,15312,1788731520000,1788732719999,0.19651736326416036,12,15294,15307,4,6,2,8,2,6,PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH,0.0,0.0,0.0,0.7166666666666212,3.0033333333334062,2.286666666666785,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,19,22326,22345,1789153500000,1789154699999,0.1959982126353152,17,22327,22345,3,9,2,12,9,4,PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY,0.0,0.16666666666666666,0.16666666666666666,3.0316666666666756,2.089999999999994,-0.9416666666666815,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,20,20435,20454,1789040040000,1789041239999,0.19560309562019873,13,20436,20454,4,4,0,9,5,5,PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_HIGH,0.0,0.3333333333333333,0.3333333333333333,0.9216666666667,1.7849999999999302,0.8633333333332301,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
