timeframe,rank,story_similarity,sequence_similarity,feature_similarity,screen_similarity,candidate_start,candidate_end,open_time,close_time,interaction_count,break_count,hold_count,rejection_count,pullback_count,repeated_level_tests,reaction_expansion_count,swing_high_tests,swing_low_tests,body_zone_tests,first_direction,second_direction,direction_shift,first_range,second_range,range_shift,first_body,second_body,body_shift,first_close_location,second_close_location,close_location_shift,first_interaction_position,last_interaction_position,level_count,story,story_event_count,story_phase_count
1m,11,0.7251913077226138,0.83,0.41076523089045525,0.668250362326149,8922,8941,1788349260000,1788350459999,8,0,3,1,6,6,3,4,0,4,0.0,0.0,0.0,1.2790000000000419,1.5690000000000055,0.2899999999999636,0.6809999999999491,0.9219999999999345,0.24099999999998545,0.47769807469829767,0.5435012012608251,0.06580312656252746,1.0,1.9,4,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,8,5
1m,12,0.7036812460959216,0.83,0.3247249843836867,0.6694205349878022,9291,9310,1788371400000,1788372599999,7,0,6,2,3,5,3,7,5,5,-0.2,-0.2,0.0,1.2429999999999382,1.7290000000000418,0.4860000000001037,0.5989999999999327,1.1650000000000547,0.566000000000122,0.5308199668148779,0.5295885879191453,-0.0012313788957325489,1.0,1.9,3,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,7,5
1m,13,0.7003396928068086,0.7535714285714286,0.5406444855129489,0.6851599193334691,26225,26244,1789387440000,1789388639999,2,0,0,1,1,1,2,2,0,2,0.2,0.4,0.2,1.2360000000000126,1.802000000000089,0.5660000000000764,0.6980000000000018,1.2050000000000183,0.5070000000000164,0.44093211705802904,0.6663424349408227,0.22541031788279364,1.1,1.7,3,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,2,7
1m,14,0.6872065884497921,0.75,0.4988263537991685,0.7165624842218826,11568,11587,1788508020000,1788509219999,4,0,3,0,3,1,1,1,2,3,-0.1,0.2,0.30000000000000004,1.3289999999999054,1.6949999999999819,0.3660000000000765,0.6299999999998818,1.0790000000000872,0.44900000000020546,0.5465309195652498,0.5873056213725166,0.04077470180726683,1.5,1.9,4,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,4,6
1m,15,0.6803727773615447,0.67375,0.700241109446179,0.7751522959894426,29990,30009,1789613340000,1789614539999,5,0,0,2,2,3,4,1,0,4,0.1,0.2,0.1,1.524999999999909,1.6210000000000035,0.09600000000009445,0.8820000000000163,1.149999999999909,0.26799999999989277,0.5023979411929357,0.6062116299028739,0.10381368870993823,1.1,1.5,4,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,5,4
1m,16,0.6799912134204817,0.7350000000000001,0.514964853681927,0.6792946504414042,18822,18841,1788943260000,1788944459999,4,0,2,1,3,1,1,3,1,2,-0.1,0.0,0.1,1.1039999999999963,1.4890000000000327,0.3850000000000364,0.53400000000006,0.9159999999999855,0.3819999999999255,0.4878358037557664,0.5924135968943458,0.1045777931385794,1.1,1.9,3,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,4,6
1m,17,0.6748031978481461,0.67375,0.677962791392585,0.7297382600965084,29989,30008,1789613280000,1789614479999,5,0,0,2,2,3,4,1,0,4,-0.1,0.2,0.30000000000000004,1.5239999999998872,1.5860000000000127,0.06200000000012551,0.90300000000002,1.1319999999999255,0.2289999999999055,0.4600250598370139,0.5485845112587956,0.08855945142178168,1.2,1.6,5,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,5,4
1m,18,0.6733843197362259,0.735,0.48853727894490373,0.6707946995319132,9620,9639,1788391140000,1788392339999,4,0,4,1,2,2,1,3,1,3,0.0,0.4,0.4,0.6670000000000982,1.010000000000082,0.34299999999998376,0.3760000000000218,0.7730000000000473,0.3970000000000255,0.6237752376382928,0.6358458821341956,0.012070644495902783,1.6,1.9,4,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,4,6
1m,19,0.6732543821914837,0.738,0.479017528765935,0.7364419446992267,20748,20767,1789058820000,1789060019999,2,0,1,0,0,1,1,2,0,2,-0.2,0.2,0.4,1.5419999999998708,1.4820000000000164,-0.05999999999985439,0.7260000000000219,0.9540000000000418,0.22800000000001996,0.41288944408315187,0.6229307007168446,0.21004125663369277,1.0,1.1,2,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,2,5
1m,20,0.6732492093315274,0.75,0.4429968373261099,0.6884473101066142,15754,15773,1788759180000,1788760379999,2,0,1,0,1,1,1,0,2,0,-0.2,0.0,0.2,0.9529999999998836,1.3360000000000127,0.3830000000001291,0.4289999999999964,1.052999999999929,0.6239999999999327,0.4469826709128717,0.5568176233444521,0.10983495243158037,1.6,1.7,3,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,2,6
