anchor_rank_1h,anchor_timestamp_1h,combined_similarity,1m_similarity,1m_timestamp,3m_similarity,3m_timestamp,5m_similarity,5m_timestamp,15m_similarity,15m_timestamp,30m_similarity,30m_timestamp,1h_similarity,1h_timestamp,4h_similarity,4h_timestamp,1d_similarity,1d_timestamp,research_note
1,1788746400000,0.4099614495603582,0.3181349228230344,1788746280000,0.3789996794142138,1788746040000,0.30028211494890356,1788743700000,0.29933962744951836,1788749100000,0.20387353115414475,1788748200000,0.5507003730303567,1788746400000,0.2283613476626939,1788724800000,1.0,1789516800000,Historical multi-timeframe similarity; not a forecast
48,1784426400000,0.34604488087727936,0.33676543488264205,1787815080000,0.5501988303232843,1784426040000,0.357880366658964,1784423700000,0.31671135862867705,1784429100000,0.44568918327868395,1784428200000,0.3716435569613751,1784426400000,0.20132545928016585,1784404800000,0.1881448570044427,1784332800000,Historical multi-timeframe similarity; not a forecast
149,1763042400000,0.3446791878948179,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.4428422192196445,1763045100000,0.2998535876288743,1763044200000,0.31389356121886497,1763042400000,0.4281764054199923,1763092800000,0.3825361938193654,1763596800000,Historical multi-timeframe similarity; not a forecast
354,1785794400000,0.3399316195272153,0.33676543488264205,1787815080000,0.49419895879203973,1785794040000,0.2647472897189733,1785791700000,0.41932529716003014,1785797100000,0.292970647140626,1785796200000,0.2663564224465982,1785794400000,0.4319457508176836,1785844800000,0.21314315525912939,1786060800000,Historical multi-timeframe similarity; not a forecast
19,1784066400000,0.33814223242247654,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.5098770637291028,1784063700000,0.3399242668061672,1784069100000,0.37487249509711446,1784068200000,0.4058544337620158,1784066400000,0.23000107064532238,1784116800000,0.1881448570044427,1784332800000,Historical multi-timeframe similarity; not a forecast
264,1771970400000,0.3378973347591563,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.38061252409237134,1771973100000,0.4385666684503627,1771972200000,0.2819346133487149,1771970400000,0.459038780690002,1772020800000,0.2528945556399977,1772236800000,Historical multi-timeframe similarity; not a forecast
153,1683482400000,0.32952772636561983,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.22425269545871052,1762631100000,0.20712252004122994,1735648200000,0.3119330067663834,1683482400000,0.478614132160302,1683604800000,0.5241679206465311,1684108800000,Historical multi-timeframe similarity; not a forecast
188,1765850400000,0.3280972689944698,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.5655609075941994,1765853100000,0.32808756826571245,1765852200000,0.30014390029489657,1765850400000,0.3957953764339156,1765972800000,0.14505886351523253,1765324800000,Historical multi-timeframe similarity; not a forecast
189,1776290400000,0.32612782485944924,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.4982010520271345,1776293100000,0.3031191397462187,1776292200000,0.29996653687504615,1776290400000,0.32101037018343664,1776340800000,0.296593964191956,1775692800000,Historical multi-timeframe similarity; not a forecast
383,1778018400000,0.3227326511976797,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.44109445886959525,1778021100000,0.32715734278824277,1778020200000,0.26132268942773795,1778018400000,0.3193790495843395,1778068800000,0.3427761330597202,1777420800000,Historical multi-timeframe similarity; not a forecast
