timeframe,pattern_code,count,mean_similarity,best_similarity
1d,BALANCED | STABLE | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.2608597763334945,0.2608597763334945
1d,BALANCED | STABLE | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.26057492887255074,0.26057492887255074
1d,BALANCED | EXPANDING | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.25983361705314156,0.25983361705314156
1d,BALANCED | COMPRESSING | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.2593606741549332,0.2593606741549332
1d,BEAR_BIASED | STABLE | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.2587049972105805,0.2587049972105805
1d,BALANCED | COMPRESSING | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.2574517554701999,0.2574517554701999
1d,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.2568240925431699,0.2568240925431699
1d,BALANCED | COMPRESSING | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.2555745519677011,0.2555745519677011
1d,BALANCED | COMPRESSING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.254708755165269,0.254708755165269
1h,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,4,0.30574709655861304,0.3127619714288004
1h,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,3,0.32459131313888984,0.32963494706688234
1h,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,2,0.3099664402518026,0.31283302520117967
1h,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3469396595048701,0.3469396595048701
1h,BULL_BIASED | STABLE | UPPER_WICK | DIRECTION_BALANCED | LOW_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3228648242563793,0.3228648242563793
1h,BULL_BIASED | EXPANDING | UPPER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3220890508222792,0.3220890508222792
1h,BALANCED | EXPANDING | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3215883423269641,0.3215883423269641
1h,BALANCED | STABLE | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3206679373255908,0.3206679373255908
1h,BALANCED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3203199883977145,0.3203199883977145
1h,BALANCED | COMPRESSING | LOWER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.3142213884703696,0.3142213884703696
1h,BALANCED | STABLE | UPPER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3131734194912714,0.3131734194912714
1h,BULL_BIASED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.31262242528287354,0.31262242528287354
1h,BULL_BIASED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3070448639612116,0.3070448639612116
1h,BALANCED | COMPRESSING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.3066415487328908,0.3066415487328908
1h,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3055487612137304,0.3055487612137304
1h,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3050155904049879,0.3050155904049879
1h,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3041861280432216,0.3041861280432216
1h,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3041004258053452,0.3041004258053452
1h,BALANCED | STABLE | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3032958613630696,0.3032958613630696
1m,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,3,0.20519369006299937,0.2190209695900002
1m,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,2,0.19797760638409267,0.2003521171479866
1m,BALANCED | EXPANDING | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.2277370034458535,0.2277370034458535
1m,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.21503974953568714,0.21503974953568714
1m,BALANCED | STABLE | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.21005384391756163,0.21005384391756163
1m,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.207871415240803,0.207871415240803
1m,BALANCED | EXPANDING | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.2056113090870499,0.2056113090870499
1m,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.20415577709325144,0.20415577709325144
1m,BULL_BIASED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.20290517304452302,0.20290517304452302
1m,BALANCED | STABLE | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.20201717572910238,0.20201717572910238
1m,BALANCED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.20080522015889665,0.20080522015889665
1m,BALANCED | STABLE | UPPER_WICK | BULL_SHIFT | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,1,0.20041989941314475,0.20041989941314475
1m,BALANCED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.1995406014649154,0.1995406014649154
1m,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | LOW_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.19719585149129015,0.19719585149129015
1m,BULL_BIASED | STABLE | UPPER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.1970835649573064,0.1970835649573064
1m,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.19657197330789256,0.19657197330789256
1m,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.19651736326416036,0.19651736326416036
1m,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.1959982126353152,0.1959982126353152
1m,BALANCED | STABLE | WICK_BALANCED | BULL_SHIFT | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,1,0.19544380172326437,0.19544380172326437
1m,BULL_BIASED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.19528382511589723,0.19528382511589723
1m,BALANCED | STABLE | LOWER_WICK | BEAR_SHIFT | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.19514865620956373,0.19514865620956373
1m,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,1,0.1951051768103642,0.1951051768103642
30m,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,7,0.293641733916637,0.3154677046288155
30m,BALANCED | COMPRESSING | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,3,0.2918440625947263,0.2992395450990151
30m,BALANCED | COMPRESSING | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,2,0.2915365114272255,0.2961231166735066
30m,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,2,0.28542422328302064,0.28777827542768275
30m,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3131077521097864,0.3131077521097864
30m,BALANCED | COMPRESSING | UPPER_WICK | BULL_SHIFT | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.30195901305476625,0.30195901305476625
30m,BALANCED | COMPRESSING | UPPER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.30150823873315796,0.30150823873315796
30m,BALANCED | COMPRESSING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.29635495108764665,0.29635495108764665
30m,BALANCED | COMPRESSING | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.29430117439419545,0.29430117439419545
30m,BALANCED | COMPRESSING | LOWER_WICK | BULL_SHIFT | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.2907851054214705,0.2907851054214705
30m,BALANCED | COMPRESSING | LOWER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.2870436722740265,0.2870436722740265
30m,BALANCED | COMPRESSING | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.28653577257284263,0.28653577257284263
30m,BALANCED | COMPRESSING | UPPER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.28648590174737437,0.28648590174737437
30m,BALANCED | STABLE | LOWER_WICK | BULL_SHIFT | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.2832571308770032,0.2832571308770032
30m,BULL_BIASED | COMPRESSING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.282825276690335,0.282825276690335
3m,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,4,0.3292048613536439,0.33467721500550995
3m,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,3,0.3407282244202426,0.34713643275905137
